Actor/Actress	Movie	Year
ABERCROMBIE, IAN	THE MOLLY MAGUIRES	1970
ACKLAND, JOSS	THE HOUSE THAT DRIPPED BLOOD	1971
ADAMS, BROOKE (I)	AMERICAN PLAYHOUSE	1981
ADAMS, BROOKE (I)	MURDERS IN THE RUE MORGUE	1971
ADAMS, MASON (I)	AMERICAN PLAYHOUSE	1981
AIDEM, BETSY	AMERICAN PLAYHOUSE	1981
ALDA, RUTANYA	PAT GARRETT & BILLY THE KID	1973
ALDREDGE, TOM	AMERICAN PLAYHOUSE	1981
ALEXANDER, JANE (I)	THE GREAT WHITE HOPE	1970
ALI, MUHAMMAD (I)	A.K.A. CASSIUS CLAY	1970
ALICE, MARY (I)	AMERICAN PLAYHOUSE	1981
ALLEN, JOAN (I)	AMERICAN PLAYHOUSE	1981
ALLEN, WOODY	BANANAS	1971
ALVARADO, TRINI	AMERICAN PLAYHOUSE	1981
AMOS, JOHN (I)	VANISHING POINT	1971
ANDREI, DAMIR	AMERICAN PLAYHOUSE	1981
ANDROSKY, CAROLE	LITTLE BIG MAN	1970
ANTONIO, JIM	THE WALTONS	1971
ARANHA, RAY	AMERICAN PLAYHOUSE	1981
ARGO, VICTOR	THE WALTONS	1971
ARKIN, ALAN	AMERICAN PLAYHOUSE	1981
ARMSTRONG, R.G.	MAJOR DUNDEE	1965
ARMSTRONG, R.G.	PAT GARRETT & BILLY THE KID	1973
ARMSTRONG, R.G.	J.W. COOP	1971
ARMSTRONG, R.G.	THE GREAT WHITE HOPE	1970
ARMUS, SIDNEY	WHO IS HARRY KELLERMAN AND WHY IS HE SAYING THOSE TERRIBLE THINGS ABOUT ME?	1971
ARNOLD, MADISON	AMERICAN PLAYHOUSE	1981
ARQUETTE, ALEXIS	AMERICAN PLAYHOUSE	1981
ARQUETTE, LEWIS	THE WALTONS	1971
ASKEW, LUKE (I)	ANGEL UNCHAINED	1970
ASKEW, LUKE (I)	PAT GARRETT & BILLY THE KID	1973
ASKEW, LUKE (I)	FLAREUP	1969
ASNER, EDWARD	THEY CALL ME MISTER TIBBS!	1970
ASNER, EDWARD	HALLS OF ANGER	1970
AUBERJONOIS, RENE	MASH	1970
AVERY, MARGARET	AMERICAN PLAYHOUSE	1981
AVERY, VAL	KING CREOLE	1958
AVERY, VAL	THE BROTHERHOOD	1968
AVERY, VAL	VANISHING POINT	1971
AXELROD, JACK	BANANAS	1971
AZZARA, CANDICE	WHO IS HARRY KELLERMAN AND WHY IS HE SAYING THOSE TERRIBLE THINGS ABOUT ME?	1971
BACARELLA, MIKE	AMERICAN PLAYHOUSE	1981
BAKER, DYLAN (I)	AMERICAN PLAYHOUSE	1981
BAKER, JOE DON	ADAM AT SIX A.M.	1970
BAKER, KENNY (I)	STAR WARS: EPISODE V - THE EMPIRE STRIKES BACK	1980
BAKER, KENNY (I)	STAR WARS	1977
BAKER, RAY (I)	AMERICAN PLAYHOUSE	1981
BALDWIN, STEPHEN (I)	AMERICAN PLAYHOUSE	1981
BAMMAN, GERRY	AMERICAN PLAYHOUSE	1981
BANCROFT, ANNE (I)	AMERICAN PLAYHOUSE	1981
BANKS, JONATHAN (I)	THE WALTONS	1971
BARANSKI, CHRISTINE	AMERICAN PLAYHOUSE	1981
BARTLETT, BONNIE	THE WALTONS	1971
BARTLETT, CAL	PAINT YOUR WAGON	1969
BARTY, BILLY	THE WALTONS	1971
BARTY, BILLY	ROUSTABOUT	1964
BASINGER, KIM	KILLJOY	1981
BASSETT, LINDA (I)	AMERICAN PLAYHOUSE	1981
BASSETT, WILLIAM	1776	1972
BATES, PAUL (I)	AMERICAN PLAYHOUSE	1981
BATESON, TIMOTHY	LOOPHOLE	1981
BAY, FRANCES	AMERICAN PLAYHOUSE	1981
BEATTY, NED	THE WALTONS	1971
BEATTY, NED	AMERICAN PLAYHOUSE	1981
BEATTY, NED	SUPERMAN	1978
BEATTY, WARREN (I)	BONNIE AND CLYDE	1967
BECK, BILLY (I)	STRANGER IN OUR HOUSE	1978
BECK, BILLY (I)	VALLEY OF THE DOLLS	1967
BECK, JOHN (II)	LAWMAN	1971
BECK, JOHN (II)	PAT GARRETT & BILLY THE KID	1973
BELAFONTE, HARRY	THE ANGEL LEVINE	1970
BELL, MICHAEL (I)	BROTHER JOHN	1971
BELLAMY, NED	THE WALTONS	1971
BENEDICT, PAUL	COLD TURKEY	1971
BENEDICT, PAUL	THE GANG THAT COULDN'T SHOOT STRAIGHT	1971
BENJAMIN, PAUL (I)	AMERICAN PLAYHOUSE	1981
BENNETT, JOHN (I)	THE HOUSE THAT DRIPPED BLOOD	1971
BERGEN, CANDICE	SOLDIER BLUE	1970
BERGEN, CANDICE	THE SAND PEBBLES	1966
BERKOFF, STEVEN	PROFESSIONE: REPORTER	1975
BERNSEN, CORBIN	THE WALTONS	1971
BIEHN, MICHAEL	GREASE	1978
BIGGERS, DAN	AMERICAN PLAYHOUSE	1981
BIGWOOD, JAMES	AMERICAN PLAYHOUSE	1981
BILLA, SALVATORE	INDIO BLACK, SAI CHE TI DICO: SEI UN GRAN FIGLIO DI...	1970
BIRK, RAYE	GAS! -OR- IT BECAME NECESSARY TO DESTROY THE WORLD IN ORDER TO SAVE IT.	1970
BISHOP, LARRY	THE DEVIL'S 8	1969
BISHOP, LARRY	ANGEL UNCHAINED	1970
BISHOP, LARRY	CHROME AND HOT LEATHER	1971
BISHOP, LARRY	WILD IN THE STREETS	1968
BISSET, JACQUELINE	THE FIRST TIME	1969
BLACKMAN, IAN (I)	AMERICAN PLAYHOUSE	1981
BLAIR, BILL (III)	AMERICAN PLAYHOUSE	1981
BLOOM, CLAIRE (I)	AMERICAN PLAYHOUSE	1981
BOGART, HUMPHREY	CASABLANCA	1942
BOGART, HUMPHREY	THE AFRICAN QUEEN	1951
BOGDANOVICH, PETER	THE WILD ANGELS	1966
BOGDANOVICH, PETER	THE LAST PICTURE SHOW	1971
BOGDANOVICH, PETER	TARGETS	1968
BORGNINE, ERNEST	LOS DESESPERADOS	1969
BOSCO, PHILIP (I)	AMERICAN PLAYHOUSE	1981
BOSTWICK, BARRY	AMERICAN PLAYHOUSE	1981
BOTTOMS, SAM (I)	APOCALYPSE NOW	1979
BOTTOMS, SAM (I)	THE LAST PICTURE SHOW	1971
BOTTOMS, TIMOTHY	THE LAST PICTURE SHOW	1971
BOWER, TOM (I)	THE WALTONS	1971
BOWER, TOM (I)	AMERICAN PLAYHOUSE	1981
BRADFORD, RICHARD (I)	THE WALTONS	1971
BRANAGH, KENNETH	AMERICAN PLAYHOUSE	1981
BRANDO, MARLON	A STREETCAR NAMED DESIRE	1951
BRANDO, MARLON	APOCALYPSE NOW	1979
BRANDO, MARLON	QUEIMADA	1969
BRANDO, MARLON	SUPERMAN	1978
BRANTLEY, BETSY	AMERICAN PLAYHOUSE	1981
BRENNAN, EILEEN (I)	AMERICAN PLAYHOUSE	1981
BRENNAN, EILEEN (I)	THE LAST PICTURE SHOW	1971
BRIDGES, BEAU (I)	GAILY, GAILY	1969
BRIDGES, BEAU (I)	THE CHRISTIAN LICORICE STORE	1971
BRIDGES, JEFF (I)	THE LAST PICTURE SHOW	1971
BRIDGES, JEFF (I)	HALLS OF ANGER	1970
BRIDGES, TODD (I)	THE WALTONS	1971
BRIGHT, RICHARD (I)	PAT GARRETT & BILLY THE KID	1973
BRIMLEY, WILFORD	THE WALTONS	1971
BRIMLEY, WILFORD	LAWMAN	1971
BROLIN, JAMES	FANTASTIC VOYAGE	1966
BRONSON, CHARLES (I)	C'ERA UNA VOLTA IL WEST	1968
BRONSON, CHARLES (I)	LE PASSAGER DE LA PLUIE	1970
BROOKS SWOPE, TRACY	AMERICAN PLAYHOUSE	1981
BROWN, BLAIR (I)	AMERICAN PLAYHOUSE	1981
BROWNE, ROSCOE LEE	AMERICAN PLAYHOUSE	1981
BURROUGHS, JACKIE (I)	AMERICAN PLAYHOUSE	1981
BURSTYN, ELLEN	THE LAST PICTURE SHOW	1971
BURSTYN, ELLEN	THE EXORCIST	1973
BURTON, KATE (I)	AMERICAN PLAYHOUSE	1981
BUSEY, GARY	WILD IN THE STREETS	1968
BUSFIELD, TIMOTHY	STRIPES	1981
BUSH, OWEN (I)	THE REIVERS	1969
BUSH, OWEN (I)	VALLEY OF THE DOLLS	1967
BUSH, OWEN (I)	ROUSTABOUT	1964
BUSH, OWEN (I)	BONNIE AND CLYDE	1967
BUSH, OWEN (I)	VANISHING POINT	1971
BUSH, TOMMY (I)	THE WALTONS	1971
CALDER, DAVID (I)	SUPERMAN	1978
CALLAN, K	THE WALTONS	1971
CAMP, COLLEEN (I)	APOCALYPSE NOW	1979
CAMPANELLA, FRANK (I)	SECONDS	1966
CAMPANELLA, FRANK (I)	THE GANG THAT COULDN'T SHOOT STRAIGHT	1971
CAMPBELL, J. KENNETH	AMERICAN PLAYHOUSE	1981
CANDY, JOHN	STRIPES	1981
CANDY, JOHN	THE SILENT PARTNER	1978
CANNON, WANDA (I)	AMERICAN PLAYHOUSE	1981
CAPERS, VIRGINIA	THE WALTONS	1971
CAPERS, VIRGINIA	BIG JAKE	1971
CAPERS, VIRGINIA	THE GREAT WHITE HOPE	1970
CAREY JR., HARRY	ONE MORE TIME	1970
CAREY JR., HARRY	SOMETHING BIG	1971
CAREY JR., HARRY	BANDOLERO!	1968
CAREY JR., HARRY	DIRTY DINGUS MAGEE	1970
CAREY JR., HARRY	BIG JAKE	1971
CARIDI, CARMINE	THE GANG THAT COULDN'T SHOOT STRAIGHT	1971
CARLSON, LESLIE	AMERICAN PLAYHOUSE	1981
CARRADINE, ROBERT	THE BIG RED ONE	1980
CARROLL, CHRISTOPHER (I)	THE WALTONS	1971
CARTER, MITCH (I)	THE WALTONS	1971
CARTER, T.K.	THE WALTONS	1971
CARTWRIGHT, VERONICA	ALIEN	1979
CASADOS, ELOY	PIECES OF DREAMS	1970
CASSAVETES, NICK	HUSBANDS	1970
CASSEL, SEYMOUR	THE REVOLUTIONARY	1970
CASTILLO, ENRIQUE (I)	THE WALTONS	1971
CASTILLO, ENRIQUE (I)	AMERICAN PLAYHOUSE	1981
CATLETT, LOYD	THE LAST PICTURE SHOW	1971
CATLETT, MARY JO	THE WALTONS	1971
CATLETT, MARY JO	BANANAS	1971
CHALFANT, KATHLEEN (I)	AMERICAN PLAYHOUSE	1981
CHAMBERS, STEVEN (I)	THE WARRIORS	1979
CHAN, JACKIE (I)	ENTER THE DRAGON	1973
CHAN, JACKIE (I)	JUI KUEN	1978
CHAN, JACKIE (I)	SHI DI CHU MA	1980
CHAN, JACKIE (I)	SHAO LIN MEN	1976
CHAN, JACKIE (I)	QUAN JING	1978
CHAN, LUNG	ENTER THE DRAGON	1973
CHAN, LUNG	GUI DA GUI	1980
CHAN, LUNG	BAI GA JAI	1981
CHAN, LUNG	ZAN XIAN SHENG YU ZHAO QIAN HUA	1978
CHAN, LUNG	SAN DE HUO SHANG YU CHONG MI LIU	1977
CHAN, LUNG	ZA JIA XIAO ZI	1979
CHANDLER, JOHN DAVIS	MAJOR DUNDEE	1965
CHANDLER, JOHN DAVIS	PAT GARRETT & BILLY THE KID	1973
CHANDLER, JOHN DAVIS	BARQUERO	1970
CHANDLER, JOHN DAVIS	DOC HOOKER'S BUNCH	1976
CHANNING, STOCKARD	THE HOSPITAL	1971
CHANNING, STOCKARD	GREASE	1978
CHAPLIN, GERALDINE	DOCTOR ZHIVAGO	1965
CHAPLIN, GERALDINE	THE HAWAIIANS	1970
CHASE, CHEVY	OH HEAVENLY DOG	1980
CHAUVIN, LILYAN	KING CREOLE	1958
CHAYKIN, MAURY	AMERICAN PLAYHOUSE	1981
CHEUNG, WAH	SHI DI CHU MA	1980
CHEUNG, WAH	SAN DE HUO SHANG YU CHONG MI LIU	1977
CHIN, WELLSON	GUI DA GUI	1980
CHIN, WELLSON	BAI GA JAI	1981
CHIN, WELLSON	LIN SHI RONG	1979
CHOW, KAM KONG	SHI DI CHU MA	1980
CHOW, KAM KONG	GUI DA GUI	1980
CHOW, KAM KONG	LIN SHI RONG	1979
CHRISTIE, JULIE (I)	DOCTOR ZHIVAGO	1965
CHUN, PAUL	THE SAND PEBBLES	1966
CHUNG, FAT	ENTER THE DRAGON	1973
CHUNG, FAT	GUI DA GUI	1980
CHUNG, FAT	BAI GA JAI	1981
CHUNG, FAT	LIN SHI RONG	1979
CHUNG, FAT	ZAN XIAN SHENG YU ZHAO QIAN HUA	1978
CHUNG, FAT	SAN DE HUO SHANG YU CHONG MI LIU	1977
CHUNG, FAT	ZA JIA XIAO ZI	1979
CLARK, DICK (I)	WILD IN THE STREETS	1968
CLARK, MATT (I)	THE WALTONS	1971
CLARK, MATT (I)	PAT GARRETT & BILLY THE KID	1973
CLAYBURGH, JILL	THE WEDDING PARTY	1969
CLOTWORTHY, ROBERT	THE WALTONS	1971
COBURN, JAMES (I)	MAJOR DUNDEE	1965
COBURN, JAMES (I)	PAT GARRETT & BILLY THE KID	1973
COE, GEORGE	AMERICAN PLAYHOUSE	1981
COFFIN, FREDERICK	AMERICAN PLAYHOUSE	1981
COLE, GARY (I)	AMERICAN PLAYHOUSE	1981
COLLINS, STEPHEN (I)	THE WALTONS	1971
COLLINS, STEPHEN (I)	STAR TREK: THE MOTION PICTURE	1979
COMBS, JEFFREY	AMERICAN PLAYHOUSE	1981
CONAWAY, JEFF	GREASE	1978
CONNERY, SEAN	THE MOLLY MAGUIRES	1970
CONROY, FRANCES	AMERICAN PLAYHOUSE	1981
CONSTANTINE, MICHAEL	THE REIVERS	1969
CONSTANTINE, MICHAEL	SKIDOO	1968
CONSTANTINE, MICHAEL	AMERICAN PLAYHOUSE	1981
COOGAN, KEITH	THE WALTONS	1971
COOPER, CHRIS (I)	AMERICAN PLAYHOUSE	1981
COPELAND, JOAN (I)	AMERICAN PLAYHOUSE	1981
COPPOLA, FRANCIS FORD	APOCALYPSE NOW	1979
COPPOLA, MARC	APOCALYPSE NOW	1979
COPPOLA, SAM (II)	THE GANG THAT COULDN'T SHOOT STRAIGHT	1971
COPPOLA, SAM (II)	SATURDAY NIGHT FEVER	1977
CORBIN, BARRY	AMERICAN PLAYHOUSE	1981
COREY, JEFF (I)	SECONDS	1966
COREY, JEFF (I)	LITTLE BIG MAN	1970
COREY, JEFF (I)	IMPASSE	1969
COREY, JEFF (I)	THEY CALL ME MISTER TIBBS!	1970
COREY, JEFF (I)	CATLOW	1971
CORT, BUD	GAS! -OR- IT BECAME NECESSARY TO DESTROY THE WORLD IN ORDER TO SAVE IT.	1970
CORT, BUD	WHY SHOOT THE TEACHER?	1977
CORT, BUD	MASH	1970
COSTANZO, ROBERT	SATURDAY NIGHT FEVER	1977
COURTENAY, TOM	DOCTOR ZHIVAGO	1965
COURTENAY, TOM	OPERATION CROSSBOW	1965
COWLES, MATTHEW	THE HOSPITAL	1971
COYOTE, PETER	AMERICAN PLAYHOUSE	1981
CRANSHAW, PATRICK	BANDOLERO!	1968
CRANSHAW, PATRICK	BONNIE AND CLYDE	1967
CRAVEN, MATT (I)	AMERICAN PLAYHOUSE	1981
CRENNA, RICHARD	CATLOW	1971
CRENNA, RICHARD	THE SAND PEBBLES	1966
CRISCUOLO, LOU	THE GANG THAT COULDN'T SHOOT STRAIGHT	1971
CROMBIE, PETER (I)	AMERICAN PLAYHOUSE	1981
CRYER, JON	AMERICAN PLAYHOUSE	1981
CULLUM, JOHN (I)	AMERICAN PLAYHOUSE	1981
CULLUM, JOHN (I)	1776	1972
CULP, ROBERT	KILLJOY	1981
CURTIN, JANE	AMERICAN PLAYHOUSE	1981
CURTIS BROWN, ROBERT	AMERICAN PLAYHOUSE	1981
CUSACK, SINÈAD	THE BALLAD OF TAM LIN	1970
CUTELL, LOU	LITTLE BIG MAN	1970
DAHLGREN, TOM	AMERICAN PLAYHOUSE	1981
DALLESANDRO, JOE	BLOOD FOR DRACULA	1974
DALLESANDRO, JOE	FLESH FOR FRANKENSTEIN	1973
DALTON, TIMOTHY (I)	MARY, QUEEN OF SCOTS	1971
DALY, TIM (I)	AMERICAN PLAYHOUSE	1981
DALY, TYNE	ANGEL UNCHAINED	1970
DANIELS, ANTHONY (I)	STAR WARS: EPISODE V - THE EMPIRE STRIKES BACK	1980
DANIELS, ANTHONY (I)	STAR WARS	1977
DANIELS, JEFF (I)	AMERICAN PLAYHOUSE	1981
DANNER, BLYTHE	1776	1972
DARROW, HENRY	THE WALTONS	1971
DARROW, HENRY	AMERICAN PLAYHOUSE	1981
DAVID, KEITH (I)	AMERICAN PLAYHOUSE	1981
DAVIS, JUDY (I)	AMERICAN PLAYHOUSE	1981
DAVIS, OSSIE	SAM WHISKEY	1969
DAVISON, BRUCE	THE WALTONS	1971
DE KEYSER, DAVID	SUPERMAN	1978
DE LA PAZ, DANNY (I)	AMERICAN PLAYHOUSE	1981
DE NIRO, ROBERT	THE WEDDING PARTY	1969
DE NIRO, ROBERT	THE GANG THAT COULDN'T SHOOT STRAIGHT	1971
DEE, RUBY (I)	AMERICAN PLAYHOUSE	1981
DELANO, MICHAEL	CATLOW	1971
DELUISE, DOM	WHO IS HARRY KELLERMAN AND WHY IS HE SAYING THOSE TERRIBLE THINGS ABOUT ME?	1971
DEMUNN, JEFFREY	AMERICAN PLAYHOUSE	1981
DENEUVE, CATHERINE	MAYERLING	1968
DENEUVE, CATHERINE	TRISTANA	1970
DERN, BRUCE	THE WILD ANGELS	1966
DERN, BRUCE	PAT GARRETT & BILLY THE KID	1973
DERN, BRUCE	THE INCREDIBLE 2-HEADED TRANSPLANT	1971
DERN, BRUCE	NUMBER ONE	1969
DEVANE, WILLIAM	THE PURSUIT OF HAPPINESS	1971
DEVITO, DANNY	BANANAS	1971
DEVRIES, JON	AMERICAN PLAYHOUSE	1981
DEW, MARTIN	STAR WARS: EPISODE V - THE EMPIRE STRIKES BACK	1980
DIAMOND, DUSTIN	AMERICAN PLAYHOUSE	1981
DICENZO, GEORGE	THE WALTONS	1971
DICKINSON, ANGIE	SAM WHISKEY	1969
DIEHL, JOHN	STRIPES	1981
DIETZ, EILEEN	THE EXORCIST	1973
DILLON, MATT (I)	AMERICAN PLAYHOUSE	1981
DIMITRI, NICK	THE MOLLY MAGUIRES	1970
DIO, BOB	AMERICAN PLAYHOUSE	1981
DISHY, BOB	AMERICAN PLAYHOUSE	1981
DITSON, HARRY	AMERICAN PLAYHOUSE	1981
DOBTCHEFF, VERNON	MARY, QUEEN OF SCOTS	1971
DOOLEY, PAUL	AMERICAN PLAYHOUSE	1981
DOUGLAS, KIRK (I)	SKIDOO	1968
DOUGLAS, KIRK (I)	THE BROTHERHOOD	1968
DOUGLAS, MICHAEL (I)	ADAM AT SIX A.M.	1970
DOUGLAS, MICHAEL (I)	SUMMERTREE	1971
DOUGLAS, SARAH (I)	THE BRUTE	1977
DOUGLAS, SARAH (I)	SUPERMAN	1978
DRAKE, LARRY (I)	AMERICAN PLAYHOUSE	1981
DRESCHER, FRAN	SATURDAY NIGHT FEVER	1977
DRESCHER, FRAN	STRANGER IN OUR HOUSE	1978
DREYFUSS, RICHARD	VALLEY OF THE DOLLS	1967
DRIER, MOOSIE	THE WALTONS	1971
DRUMMOND, ALICE	AMERICAN PLAYHOUSE	1981
DUELL, WILLIAM	1776	1972
DUFFIN, SHAY	AMERICAN PLAYHOUSE	1981
DUFFY, JACK (II)	THE SILENT PARTNER	1978
DUGAN, DENNIS (I)	THE WALTONS	1971
DUGAN, DENNIS (I)	THE HOSPITAL	1971
DUKAKIS, OLYMPIA	AMERICAN PLAYHOUSE	1981
DUKE, BILL (I)	AMERICAN PLAYHOUSE	1981
DUKE, PATTY	VALLEY OF THE DOLLS	1967
DUKES, DAVID (I)	AMERICAN PLAYHOUSE	1981
DUNAWAY, FAYE	LITTLE BIG MAN	1970
DUNAWAY, FAYE	BONNIE AND CLYDE	1967
DUNN, CONRAD	STRIPES	1981
DUPOIS, STARLETTA	AMERICAN PLAYHOUSE	1981
DURNING, CHARLES	I WALK THE LINE	1970
DURNING, CHARLES	AMERICAN PLAYHOUSE	1981
DURNING, CHARLES	THE PURSUIT OF HAPPINESS	1971
DUVALL, ROBERT	LAWMAN	1971
DUVALL, ROBERT	APOCALYPSE NOW	1979
DUVALL, ROBERT	THE REVOLUTIONARY	1970
DUVALL, ROBERT	MASH	1970
DUVALL, ROBERT	THX 1138	1971
DZUNDZA, GEORGE	THE WALTONS	1971
EASTIN, STEVE (I)	THE WALTONS	1971
EASTON, ROBERT (I)	PAINT YOUR WAGON	1969
EASTON, ROBERT (I)	VOYAGE TO THE BOTTOM OF THE SEA	1961
EASTWOOD, CLINT	PAINT YOUR WAGON	1969
EASTWOOD, CLINT	PER UN PUGNO DI DOLLARI	1964
ECKHOUSE, JAMES	AMERICAN PLAYHOUSE	1981
EFRON, MARSHALL	THX 1138	1971
EGGAR, SAMANTHA	WHY SHOOT THE TEACHER?	1977
EGGAR, SAMANTHA	THE MOLLY MAGUIRES	1970
ELIZONDO, HECTOR (I)	AMERICAN PLAYHOUSE	1981
ELIZONDO, HECTOR (I)	VALDEZ IS COMING	1971
EMMICH, CLIFF	GAILY, GAILY	1969
ENSIGN, MICHAEL	SUPERMAN	1978
EPPER, TONY (I)	VALDEZ IS COMING	1971
EPPER, TONY (I)	PAINT YOUR WAGON	1969
ERMEY, R. LEE	APOCALYPSE NOW	1979
ERWIN, BILL	HOW AWFUL ABOUT ALLAN	1970
ERWIN, BILL	HUCKLEBERRY FINN	1975
ERWIN, BILL	THE WALTONS	1971
ESPOSITO, GIANCARLO (I)	AMERICAN PLAYHOUSE	1981
ESTRADA, ERIK (I)	CHROME AND HOT LEATHER	1971
EVANS, ART (I)	AMERICAN PLAYHOUSE	1981
FALK, PETER (I)	HUSBANDS	1970
FALK, PETER (I)	LO SBARCO DI ANZIO	1968
FANCY, RICHARD	AMERICAN PLAYHOUSE	1981
FARGAS, ANTONIO	HUCKLEBERRY FINN	1975
FARINA, DENNIS	AMERICAN PLAYHOUSE	1981
FARMER, GARY (I)	AMERICAN PLAYHOUSE	1981
FERRARA, FRANK (I)	THE WARRIORS	1979
FERRELL, CONCHATA	AMERICAN PLAYHOUSE	1981
FIELDER, HARRY (I)	MURPHY'S WAR	1971
FIELDER, HARRY (I)	HUSBANDS	1970
FIELDER, HARRY (I)	STAR WARS	1977
FIELDER, HARRY (I)	SALT AND PEPPER	1968
FIELDER, HARRY (I)	THE REVOLUTIONARY	1970
FIELDER, HARRY (I)	CRY OF THE BANSHEE	1970
FIELDER, HARRY (I)	FRANKENSTEIN MUST BE DESTROYED	1969
FIELDER, HARRY (I)	SUPERMAN	1978
FINK, JOHN (I)	THE WALTONS	1971
FINLAY, FRANK	THE MOLLY MAGUIRES	1970
FINNEY, ALBERT	LOOPHOLE	1981
FISHBURNE, LAURENCE	AMERICAN PLAYHOUSE	1981
FISHBURNE, LAURENCE	APOCALYPSE NOW	1979
FISHER, CARRIE (I)	STAR WARS: EPISODE V - THE EMPIRE STRIKES BACK	1980
FISHER, CARRIE (I)	STAR WARS	1977
FLAHERTY, JOE (I)	STRIPES	1981
FLANAGAN, FIONNULA	SINFUL DAVEY	1969
FLECK, JOHN (I)	AMERICAN PLAYHOUSE	1981
FLYNN, MICHAEL (I)	STRIPES	1981
FOLEY, DAVE (I)	AMERICAN PLAYHOUSE	1981
FONDA, PETER (I)	THE WILD ANGELS	1966
FONDA, PETER (I)	THE HIRED HAND	1971
FORD, HARRISON (I)	APOCALYPSE NOW	1979
FORD, HARRISON (I)	STAR WARS: EPISODE V - THE EMPIRE STRIKES BACK	1980
FORD, HARRISON (I)	STAR WARS	1977
FORREST, FREDERIC	AMERICAN PLAYHOUSE	1981
FORREST, FREDERIC	APOCALYPSE NOW	1979
FORSTER, ROBERT (I)	PIECES OF DREAMS	1970
FOSTER, MEG (I)	ADAM AT SIX A.M.	1970
FOX, JAMES (I)	PERFORMANCE	1970
FRAKES, JONATHAN	THE WALTONS	1971
FRANKEN, STEVE	NUMBER ONE	1969
FRANKLYN-ROBBINS, JOHN	THE BRUTE	1977
FRANZ, ELIZABETH	AMERICAN PLAYHOUSE	1981
FRENCH, BRUCE (I)	THE WALTONS	1971
FRENCH, LEIGH	WUSA	1970
FREWER, MATT	AMERICAN PLAYHOUSE	1981
FRICKER, BRENDA	SINFUL DAVEY	1969
FRIESEN, JOHN (I)	WHY SHOOT THE TEACHER?	1977
FUNG, HARK-ON	LIN SHI RONG	1979
FUNG, HARK-ON	ZAN XIAN SHENG YU ZHAO QIAN HUA	1978
